Customer ID,RFM Score,Average Balance Feed Index,Number of Transactions,Personal Debt to Equity Ratio,Months Current Account,Number of Loan Accounts,Has Bad Payment Record,Members Within Household,Number of Call Center Contacts,Age Youngest Child,Number of Workers in Household,Percentage White Collar Workers,Household Debt to Equity Ratio,Income,Weeks Since Last Offer,Homeowner,Annual value,Last_offer_date,Accepted Credit Card
5409,9.82899,229,2,40,13,0,0,5,9,11,6,37,56,37073,17,F,90,19/06/2017,F
5477,11.80799,8,1,47,5,2,0,4,9,13,13,30,56,50721,22,F,260,05/03/2018,F
5507,0,0,0,35,31,0,0,4,0,1,9,33,57,43578,27,T,0,21/03/2019,T
8,0,0,0,45,-3,0,0,1,11,15,7,30,62,69553,51,F,0,21/08/2019,F
158,0,0,0,13,39,0,0,6,11,0,7,27,64,37502,8,T,0,07/07/2018,F
173,11.819,119,1,45,6,3,0,5,9,14,10,28,60,34722,32,F,360,15/11/2018,F
5408,0,0,0,40,5,0,0,4,7,7,10,40,48,56607,16,F,0,13/04/2017,F
5579,0,0,0,36,28,0,0,1,8,7,4,36,58,55328,21,F,0,22/08/2018,F
5695,7.879,179,1,26,8,0,0,5,10,0,15,31,52,42752,34,F,30,14/12/2017,F
5732,9.91999,120,1,33,25,1,0,5,9,2,12,29,57,71450,46,T,160,04/06/2018,F
5747,0,0,0,64,14,0,0,7,0,31,14,23,62,61260,48,T,0,20/10/2020,F
5832,12.719,219,1,43,7,1,0,3,8,14,12,42,44,59133,32,F,160,18/10/2017,F
5803,0,0,0,37,6,3,0,5,10,10,16,37,45,33549,14,F,300,02/12/2017,F
5833,10.745667,279,1,35,19,0,0,3,8,6,14,44,40,56458,28,F,120,03/07/2017,F
5960,7.584,84,1,59,8,0,0,4,11,29,10,24,65,36927,46,F,90,18/03/2020,F
323,9.772333,139,1,15,26,0,0,3,11,0,7,27,64,37502,49,F,60,12/03/2017,T
442,0,0,0,52,12,3,0,6,10,21,11,36,51,43484,41,F,300,23/01/2019,F
6101,11.81999,120,1,41,20,0,0,3,11,7,4,36,58,55328,30,F,60,29/09/2020,T
6331,0,0,0,78,-5,0,0,3,9,49,7,31,61,62274,9,T,0,10/05/2017,T
6366,0,0,0,37,16,0,0,3,10,6,14,44,40,56458,12,T,0,10/04/2017,F
539,0,0,0,58,5,0,0,7,8,31,11,26,61,42991,43,F,0,08/03/2018,F
6337,12.762313,229,3,48,33,0,0,5,11,23,12,43,44,54415,5,F,150,16/03/2016,F
742,0,0,0,32,13,4,0,2,10,0,15,34,50,26710,49,F,400,28/07/2017,F
959,0,0,0,49,-2,5,0,4,5,22,10,32,56,64222,42,F,500,19/04/2018,F
6882,7.865667,699,1,52,27,1,0,6,10,22,8,46,45,25176,31,T,220,06/03/2017,F
6946,0,0,0,20,5,0,0,5,7,0,7,33,58,65263,33,F,0,16/04/2018,T
7068,0,0,0,42,-4,4,0,3,9,10,10,24,65,59379,50,F,400,13/05/2019,F
7100,8.85399,154,2,28,17,1,0,2,6,0,10,36,52,43935,25,F,160,13/08/2016,F
7186,0,0,0,28,12,2,0,4,0,0,14,29,55,69766,9,T,200,05/08/2018,F
7266,0,0,0,41,24,1,0,1,0,13,7,39,52,30933,10,F,100,25/08/2017,F
6989,0,0,0,28,-1,0,0,1,0,0,18,18,63,52174,35,F,0,11/06/2019,T
7048,0,0,0,49,25,1,0,2,0,18,14,26,59,39840,2,F,100,22/04/2018,F
7367,8.966657,100,1,43,18,0,0,2,11,15,9,42,48,53970,10,T,90,25/05/2018,F
10692,0,0,0,44,10,1,0,3,10,13,7,39,52,30933,4,F,100,11/06/2017,F
1478,0,0,0,40,36,2,0,2,4,10,8,44,47,48069,2,F,200,09/04/2016,F
1644,0,0,0,43,17,1,0,6,10,12,10,36,53,72513,31,T,100,02/01/2019,F
10844,0,0,0,22,-2,2,0,6,8,0,8,32,59,79747,3,F,200,29/03/2016,F
37,0,0,0,32,-4,1,0,1,0,1,8,25,66,35879,49,F,100,09/03/2017,F
11044,0,0,0,64,32,0,0,5,10,30,8,27,63,37103,14,F,0,24/11/2018,F
53,12.995667,129,1,34,36,0,0,2,9,4,14,33,51,44429,37,F,120,01/10/2017,F
1695,0,0,0,38,32,0,0,5,9,10,11,43,45,56824,35,F,0,18/11/2016,F
1794,8.083323,150,1,33,9,1,0,4,10,2,12,46,41,45864,2,F,130,30/04/2017,F
11362,11.248,148,2,39,39,0,0,3,11,13,11,27,61,54716,14,T,120,11/02/2019,F
11380,0,0,0,50,-1,0,0,2,9,20,14,21,63,54532,17,T,60,30/06/2019,F
469,12.39993,200,3,37,24,1,0,4,8,4,8,40,51,52002,25,F,190,26/08/2016,T
11548,9.902333,169,1,44,36,1,0,4,9,19,13,26,59,52733,36,F,220,12/03/2020,F
11565,0,0,0,16,35,1,0,3,11,0,16,26,56,54243,2,T,100,07/09/2017,F
769,8.665667,299,1,33,24,0,0,2,10,1,10,19,69,68382,47,F,60,03/01/2016,F
5471,0,0,0,38,-5,1,0,3,10,8,9,20,69,54304,5,T,100,28/02/2017,T
5504,0,0,0,40,8,0,0,3,9,8,9,22,67,36405,9,F,0,13/04/2019,F
5520,9.215667,249,1,46,32,0,0,5,10,15,11,23,64,66704,6,F,60,22/10/2020,F
11814,0,0,0,30,34,2,0,6,11,0,10,44,44,41497,13,F,200,12/02/2016,F
11831,0,0,0,58,5,2,0,7,6,28,9,41,48,72258,43,T,200,03/03/2018,F
1012,0,0,0,41,31,0,0,2,11,14,8,33,57,38068,43,T,0,11/05/2017,F
5606,0,0,0,36,8,1,0,2,9,8,13,36,49,58877,43,F,100,05/07/2019,F
5656,8.60899,109,2,44,32,0,0,1,11,13,8,32,58,55140,22,F,120,28/03/2018,F
12080,0,0,0,31,-5,0,0,1,8,2,14,38,47,51309,2,F,0,10/01/2017,T
12333,0,0,0,49,-1,2,0,6,9,20,7,43,49,67995,17,F,260,09/06/2016,F
12366,0,0,0,18,11,0,0,3,8,0,4,30,64,40287,32,F,0,18/07/2018,F
1416,0,0,0,33,-4,2,0,6,11,5,13,37,48,42662,50,T,200,12/04/2017,F
12450,8.348,148,2,48,27,0,0,5,9,19,12,27,59,24450,18,T,60,12/11/2016,F
6208,0,0,0,39,17,1,0,6,7,7,11,25,63,33861,28,F,100,24/10/2018,F
1707,0,0,0,25,12,4,0,3,10,0,16,32,50,50159,15,F,400,18/04/2019,F
6258,0,0,0,40,-1,4,0,1,0,9,22,38,38,44992,19,F,400,11/03/2017,T
6275,0,0,0,40,11,0,0,3,7,10,11,43,45,56824,29,F,0,07/07/2017,F
6390,0,0,0,52,19,1,0,4,9,21,14,27,58,56608,13,F,100,15/11/2020,T
6407,0,0,0,13,18,2,0,1,11,0,16,24,59,50177,36,T,200,14/01/2016,F
1975,0,0,0,39,-6,1,0,3,10,13,7,39,52,30933,36,F,100,11/05/2020,T
449,0,0,0,29,33,1,0,3,8,0,10,36,52,43935,47,F,100,25/06/2017,T
6592,0,0,0,59,30,0,0,7,9,32,11,42,45,46931,44,F,0,28/11/2016,T
6706,0,0,0,40,40,0,0,3,0,13,11,27,61,54716,44,T,0,22/05/2017,F
515,7.582333,349,1,57,21,0,0,4,5,31,8,32,59,56249,52,F,60,29/09/2016,F
6757,0,0,0,28,26,1,0,1,8,0,13,47,38,50205,3,F,100,13/09/2016,F
7110,10.928667,362,3,54,33,0,0,6,8,26,8,31,59,33597,22,T,120,29/06/2017,F
7176,9.049,249,1,43,10,0,0,4,11,13,10,27,61,57415,27,F,120,20/02/2018,F
1266,0,0,0,46,-5,1,0,4,11,18,10,36,53,47995,45,T,100,06/07/2018,T
11594,0,0,0,35,23,1,0,6,10,0,14,39,45,49921,20,T,100,26/06/2016,F
11635,7.624,124,1,36,19,4,0,1,9,4,15,34,49,49274,48,T,490,23/07/2016,F
11749,0,0,0,35,-6,0,0,1,11,5,7,39,52,55425,3,F,0,25/09/2017,F
11753,0,0,0,50,23,0,0,5,9,19,12,27,59,24450,18,F,0,12/12/2018,F
7294,0,0,0,54,-6,0,0,6,7,28,16,43,40,43932,47,F,0,09/09/2017,F
10684,0,0,0,52,11,3,0,4,9,21,9,28,61,44227,27,T,300,18/01/2018,F
1586,14.872637,506,4,27,32,0,0,2,11,0,15,31,52,42752,5,F,210,17/11/2019,F
1620,0,0,0,49,15,1,0,6,10,18,9,25,65,35796,9,F,100,30/04/2019,F
10719,9.579,179,1,39,17,0,0,5,8,10,14,34,51,56046,28,F,30,12/07/2019,F
10853,10.214657,248,3,60,13,2,0,5,10,29,14,25,59,59812,13,T,380,24/04/2019,F
1669,0,0,0,24,-4,0,0,6,10,0,7,33,58,65263,17,F,30,15/12/2018,F
12012,0,0,0,42,-2,3,0,5,9,11,8,35,55,53548,32,F,300,30/03/2017,F
12192,0,0,0,32,38,1,0,1,9,1,16,39,43,29078,8,F,100,26/01/2020,F
10918,0,0,0,34,38,1,0,1,10,5,9,42,47,65852,52,F,100,06/02/2018,F
10955,0,0,0,38,36,0,0,2,8,6,9,28,61,40295,24,F,0,25/03/2018,F
11002,0,0,0,24,33,0,0,5,0,0,4,30,64,40287,5,F,0,15/03/2018,F
1968,0,0,0,35,33,0,0,1,10,3,14,32,53,45384,34,F,0,12/04/2020,F
12237,10.49697,97,3,48,35,0,0,7,5,20,11,37,50,41325,51,F,120,22/01/2017,F
12401,0,0,0,35,13,0,0,1,8,4,9,39,50,66781,30,T,0,29/01/2016,F
11254,0,0,0,44,40,0,0,2,7,17,6,30,62,58487,17,F,0,24/06/2016,F
16174,0,0,0,49,20,0,0,1,11,18,11,24,63,57643,19,T,0,07/11/2016,F
12603,0,0,0,19,-1,2,0,6,11,0,14,29,55,69766,49,T,200,03/01/2016,F
7364,0,0,0,51,17,0,0,7,8,24,11,36,52,58579,15,F,0,11/06/2016,F
7371,0,0,0,35,13,1,0,1,10,5,9,42,47,65852,12,F,100,12/10/2016,F
11353,0,0,0,18,37,0,0,2,10,0,4,30,64,40287,9,F,0,12/10/2020,F
11473,0,0,0,23,15,1,0,1,10,0,10,29,59,63015,33,F,100,30/09/2017,F
16542,0,0,0,49,29,0,0,1,11,17,14,25,59,37053,45,F,0,31/08/2016,F
16595,0,0,0,55,29,1,0,3,9,25,8,35,56,69260,23,F,100,04/02/2020,T
11740,0,0,0,61,0,1,0,6,8,28,12,45,42,61366,2,F,160,01/03/2018,T
7625,10.995657,229,2,34,36,0,0,1,10,4,10,20,69,65343,3,F,60,04/08/2017,F
16760,0,0,0,41,36,0,0,3,9,16,8,38,52,47326,41,F,0,02/11/2020,F
16827,12.799,299,1,55,27,1,0,7,9,29,11,22,65,48428,23,T,130,03/11/2017,F
11954,0,0,0,54,0,3,0,2,9,22,11,29,58,64334,33,F,360,01/12/2016,F
7957,0,0,0,52,-4,7,0,2,9,20,8,41,49,45691,23,F,700,22/03/2016,F
16912,0,0,0,65,28,7,0,7,9,38,13,30,56,42708,43,F,700,20/06/2016,F
16929,0,0,0,31,40,0,0,4,10,1,13,32,54,31926,25,F,0,13/12/2020,F
16979,0,0,0,33,-5,0,0,3,11,6,14,44,40,56458,24,F,0,15/08/2017,F
17060,0,0,0,75,26,0,0,7,11,47,9,46,43,50682,41,F,0,03/02/2018,F
12057,0,0,0,32,5,0,0,3,11,1,13,32,54,31926,36,F,0,12/09/2019,F
8089,9.25449,355,2,32,6,4,0,6,0,3,10,41,47,36839,44,F,460,21/11/2016,F
8175,0,0,0,16,24,1,0,5,8,0,11,18,69,43220,50,F,100,21/06/2019,F
17193,9.978,378,2,43,7,1,0,3,9,15,9,41,49,57797,31,T,520,22/06/2017,F
8359,10.842323,109,2,41,10,4,0,5,0,13,7,39,52,47383,36,T,490,21/07/2020,F
12241,9.009667,443,2,32,15,3,0,6,5,2,11,29,58,67261,7,F,360,08/09/2018,F
12389,7.525667,59,1,20,30,0,0,3,8,0,7,43,49,67905,39,F,120,17/08/2020,F
17529,0,0,0,34,35,3,0,3,9,5,10,25,64,38009,25,F,300,09/02/2020,F
8716,0,0,0,64,23,0,0,6,7,33,11,14,73,52907,51,F,0,03/05/2016,F
12574,9.91999,120,1,49,35,0,0,1,9,18,16,28,54,47398,50,F,60,17/11/2020,F
17713,9.804,104,1,23,23,3,0,3,7,0,15,65,19,45799,6,F,330,20/07/2019,F
17798,8.79099,91,2,16,24,0,0,6,10,0,7,27,64,37502,7,F,120,01/02/2020,F
8743,0,0,0,44,-3,2,0,5,10,17,10,24,64,67397,50,F,230,21/08/2016,F
8825,12.103637,137,3,69,14,7,0,3,11,40,12,32,55,61410,6,T,880,28/05/2017,F
8918,7.337323,4,1,35,32,0,0,4,11,3,9,43,46,58861,1,T,60,18/12/2016,F
8961,0,0,0,41,33,0,0,1,6,12,13,45,41,78162,20,F,0,22/08/2020,F
7394,0,0,0,38,-3,1,0,5,10,10,10,27,61,59742,17,F,100,13/02/2017,F
7459,9.869,69,1,43,25,1,0,5,11,15,9,42,47,41576,52,F,160,27/08/2018,F
7542,0,0,0,36,31,0,0,1,10,9,15,27,56,32563,9,F,0,23/03/2018,F
8977,11.16899,69,2,35,35,0,0,5,0,8,9,22,67,36405,43,F,90,20/05/2017,F
9184,0,0,0,39,6,0,0,1,10,12,7,28,63,43626,26,F,0,15/02/2018,F
9193,0,0,0,82,41,0,0,4,7,53,10,49,39,59420,45,T,0,20/12/2016,F
7629,0,0,0,11,14,0,0,2,9,0,7,33,58,65263,27,F,0,15/08/2020,F
7695,0,0,0,50,-4,0,0,5,9,17,6,30,62,58487,33,F,30,03/03/2018,F
9361,13.42199,122,2,43,5,2,0,6,7,17,10,39,50,51008,51,F,290,07/12/2019,F
9393,0,0,0,51,5,1,0,1,0,18,14,44,40,56762,10,F,100,23/05/2018,F
13085,12.64199,42,2,49,10,3,0,6,8,18,10,33,55,48807,13,T,360,19/11/2017,F
7929,8.48498,185,2,46,14,3,0,5,0,15,7,40,52,28978,24,F,450,08/10/2018,F
2234,0,0,0,40,38,0,0,4,11,13,11,27,61,54716,24,F,0,12/03/2017,F
8144,10.304667,338,2,29,9,0,0,2,9,0,4,30,64,40287,15,F,120,15/04/2017,F
2302,0,0,0,38,-5,2,0,5,10,9,7,23,68,57561,4,F,200,20/12/2017,F
2382,0,0,0,38,-7,4,0,5,0,9,14,26,59,38063,9,T,400,19/12/2019,F
13585,11.869,169,1,50,31,2,0,2,0,18,17,44,37,48205,40,F,260,31/12/2019,T
8361,0,0,0,23,25,1,0,2,11,0,10,36,52,43935,43,F,100,09/09/2018,F
8364,10.44197,142,3,29,22,0,0,6,1,0,7,27,64,37502,40,F,120,19/10/2020,F
8445,0,0,0,51,6,2,0,2,8,19,7,38,54,64317,39,T,200,13/10/2018,F
2850,0,0,0,48,33,1,0,4,7,18,9,25,65,35796,27,F,100,08/03/2019,F
13935,0,0,0,42,20,1,0,1,10,12,10,36,53,72513,3,F,100,05/03/2018,F
8781,11.399,599,1,56,17,1,0,3,0,25,22,49,27,43990,38,F,160,07/02/2018,F
8913,0,0,0,44,-3,0,0,4,10,16,9,29,60,59799,9,F,0,23/05/2017,F
3070,11.641323,208,2,23,37,2,0,2,9,0,14,53,31,54532,38,T,290,28/01/2017,F
14220,0,0,0,47,21,1,0,5,10,17,16,46,36,49127,46,F,100,01/06/2019,F
3395,13.701323,368,3,42,9,3,0,2,9,14,12,24,62,35121,7,T,450,17/06/2018,F
9131,0,0,0,42,30,0,0,6,10,17,12,24,62,47588,41,F,0,10/03/2019,F
14436,0,0,0,49,34,1,0,7,9,21,8,41,50,42003,10,F,100,23/07/2019,F
14539,0,0,0,39,26,1,0,2,0,8,9,20,69,54304,40,F,100,04/01/2016,F
3463,7.405667,139,1,31,25,0,0,6,11,6,9,23,67,80647,8,F,30,07/05/2016,F
3636,0,0,0,51,26,0,0,2,6,18,16,28,54,47398,6,F,0,06/10/2018,F
14654,0,0,0,49,-5,1,0,2,10,18,14,44,40,56762,17,F,100,10/07/2019,F
9213,0,0,0,49,6,2,0,3,8,20,7,29,63,34495,41,T,200,11/07/2017,F
9263,0,0,0,36,28,0,0,5,9,7,13,18,67,56482,48,F,0,14/05/2016,F
7684,0,0,0,30,31,3,0,2,11,3,7,33,59,47532,30,F,300,06/08/2018,F
7820,0,0,0,38,-1,2,0,2,0,14,9,42,47,47179,17,F,230,31/05/2020,F
2296,7.765667,399,1,33,17,2,0,3,0,7,8,35,55,55140,2,F,260,06/04/2017,T
2297,0,0,0,31,27,1,0,6,10,0,14,32,53,63861,40,T,100,06/04/2020,F
2344,0,0,0,40,23,0,0,4,8,14,11,43,45,48564,7,T,0,26/03/2018,F
2495,0,0,0,23,34,2,0,1,11,0,6,21,71,17418,50,F,200,20/09/2018,F
2529,0,0,0,50,8,4,0,6,9,20,17,15,67,32924,32,F,400,26/04/2020,F
9747,0,0,0,40,35,1,0,6,0,13,9,38,51,38650,34,F,100,03/09/2018,F
9804,0,0,0,53,12,1,0,4,8,26,12,18,69,42550,44,F,100,26/10/2020,F
2664,8.695667,129,1,47,15,5,0,6,7,15,12,51,36,49729,31,T,560,11/05/2019,F
2749,0,0,0,36,37,1,0,3,9,7,6,31,61,79287,16,T,100,09/12/2020,F
8523,10.609,109,1,51,23,2,0,7,9,26,12,44,43,36609,36,F,260,31/12/2019,F
8603,0,0,0,34,-3,3,0,4,0,2,9,21,68,48788,18,F,330,10/02/2020,F
10304,8.549,49,1,30,14,0,0,3,7,0,4,30,64,40287,40,T,60,05/07/2016,F
2982,0,0,0,64,6,0,0,3,9,35,9,39,51,39989,45,T,0,01/06/2017,F
3014,0,0,0,62,13,1,0,3,11,35,11,29,58,58289,10,F,100,11/11/2016,T
3046,0,0,0,38,5,0,0,4,8,7,10,32,57,48329,36,F,0,18/10/2019,F
3133,0,0,0,21,33,0,0,2,10,0,15,31,52,42752,20,F,0,19/09/2019,F
3330,12.952333,219,1,58,20,3,0,6,9,28,9,31,59,37836,30,F,390,10/06/2016,F
8972,9.007323,174,2,54,26,2,0,6,0,27,13,44,42,65244,48,F,290,11/10/2017,F
21318,0,0,0,45,25,2,0,3,0,16,12,43,43,56497,39,T,200,03/10/2016,F
3347,11.203313,270,3,35,36,1,0,2,11,7,8,28,63,58009,1,T,220,10/10/2019,F
9124,0,0,0,34,23,0,0,3,4,5,6,38,54,37098,10,T,0,29/09/2019,F
3599,0,0,0,41,-3,0,0,4,7,11,13,33,52,46755,14,F,0,21/07/2018,F
3667,7.34999,150,1,45,37,0,0,2,11,19,16,16,67,52368,1,T,90,30/11/2018,T
3766,11.355667,89,1,45,16,1,0,3,7,9,8,34,57,51244,12,F,130,07/10/2016,F
3784,9.150617,284,2,37,5,0,0,3,8,6,14,44,40,56458,29,F,120,27/07/2018,F
9341,0,0,0,59,0,0,0,2,7,28,14,36,49,43490,11,F,0,25/11/2019,F
2136,10.849,349,1,47,24,1,0,5,8,16,14,35,50,48993,20,F,130,03/09/2020,F
21836,0,0,0,36,10,0,0,5,0,7,13,18,67,56482,31,F,0,15/11/2017,F
3818,10.784333,551,4,27,7,0,0,5,7,0,7,33,58,65263,47,F,120,23/05/2019,F
3849,0,0,0,51,-6,2,0,7,10,23,7,18,73,74876,19,T,200,06/04/2018,F
2369,11.326333,193,2,56,13,3,0,3,9,25,9,19,70,38953,10,F,390,14/11/2019,T
4050,0,0,0,40,23,1,0,6,11,9,15,22,62,43897,17,T,100,26/10/2019,F
2489,0,0,0,35,12,4,0,6,11,5,5,28,66,54811,29,F,400,26/02/2020,F
16088,0,0,0,42,-2,3,0,3,0,14,11,30,57,47761,12,F,330,26/08/2019,F
16136,0,0,0,17,37,1,0,4,0,0,16,26,56,54243,27,F,100,01/04/2019,F
16163,0,0,0,49,31,0,0,4,9,20,17,47,34,36701,27,F,0,10/12/2020,F
2656,8.199,199,1,37,32,0,0,6,9,7,4,36,58,55328,17,T,60,16/12/2020,F
2837,0,0,0,43,31,1,0,5,8,13,7,39,52,30933,6,F,100,16/11/2020,F
16381,0,0,0,41,17,1,0,2,0,18,6,27,66,51125,16,F,100,03/03/2016,F
16488,0,0,0,49,18,0,0,6,11,18,3,24,71,45892,24,F,0,27/10/2017,F
9699,0,0,0,38,30,0,0,5,9,15,7,30,62,69553,42,F,0,19/01/2020,F
16622,0,0,0,33,7,1,0,1,0,7,11,25,63,33861,38,F,100,07/01/2019,F
3223,12.76398,64,3,14,24,0,0,4,11,0,15,31,52,42752,19,T,120,07/10/2016,F
3524,0,0,0,42,15,7,0,1,10,12,8,28,62,54242,43,T,700,15/01/2019,F
17006,0,0,0,49,-4,4,0,3,8,21,16,37,45,64159,48,T,640,03/05/2020,F
17040,0,0,0,46,27,0,0,2,11,15,7,50,42,41319,2,F,0,17/08/2016,F
17049,10.841333,208,2,38,33,2,0,3,11,6,15,31,53,45384,4,T,260,30/09/2016,F
17101,0,0,0,28,31,0,0,5,9,0,15,31,52,42752,44,F,0,20/04/2018,T
17190,0,0,0,51,28,2,0,5,10,20,7,29,63,34495,39,F,200,03/05/2018,F
10369,0,0,0,48,37,3,0,7,10,19,17,38,43,65816,17,F,300,31/05/2016,F
10453,0,0,0,31,15,1,0,2,8,0,14,32,53,49255,21,F,100,03/10/2019,F
3876,11.465667,299,1,18,25,1,0,1,10,0,14,39,45,49921,19,T,220,15/11/2018,F
17360,0,0,0,42,23,1,0,6,11,14,15,33,51,29682,14,T,100,01/11/2018,F
21265,0,0,0,45,5,1,0,3,10,15,15,39,44,43123,4,T,100,01/07/2020,F
21280,0,0,0,33,16,2,0,5,0,2,8,34,56,63703,36,F,200,26/07/2016,F
21350,0,0,0,27,-4,0,0,5,9,0,7,33,58,65263,11,F,0,28/04/2020,F
17594,0,0,0,20,37,0,0,5,0,0,7,33,58,65263,10,F,0,04/02/2019,T
17649,0,0,0,26,9,0,0,1,10,0,7,33,58,65263,31,F,0,09/04/2019,F
21464,0,0,0,71,-5,1,0,6,10,41,10,21,67,43398,17,T,100,22/11/2017,F
17694,10.16799,168,3,39,25,7,0,2,11,10,10,29,59,44851,10,T,820,29/06/2017,F
17826,9.91999,120,1,44,28,1,0,2,8,16,5,49,45,49260,36,F,160,30/11/2019,F
21699,8.355667,189,1,26,38,0,0,3,9,0,15,31,52,42752,40,F,60,05/07/2018,F
21818,0,0,0,29,39,2,0,1,11,2,12,17,70,46816,31,T,200,30/10/2017,T
21848,11.697,297,3,56,13,3,0,2,11,24,10,40,49,45691,49,F,390,12/01/2016,F
21918,0,0,0,41,-5,1,0,2,0,11,15,21,62,47494,34,F,100,20/05/2018,T
16017,12.330567,164,3,34,34,0,0,2,10,4,9,33,57,44525,27,T,120,19/01/2017,F
16115,0,0,0,40,34,2,0,6,11,9,13,38,48,40562,36,F,200,13/03/2017,F
16754,9.94899,249,2,30,7,0,0,3,10,0,7,27,64,37502,32,T,60,22/02/2016,F
17121,0,0,0,34,-3,0,0,4,10,7,13,18,67,56482,24,F,90,05/04/2020,F
17403,0,0,0,37,37,0,0,5,9,6,8,32,59,40442,47,T,0,25/12/2019,F
17487,7.453323,20,1,32,35,0,0,3,11,4,9,39,50,66781,21,F,60,23/06/2019,F
17539,0,0,0,36,38,2,0,4,11,7,8,35,55,55140,49,F,200,17/01/2018,F
17673,0,0,0,59,-6,0,0,7,10,29,10,24,65,36927,47,T,0,07/04/2017,F
6418,0,0,0,46,37,1,0,3,9,17,10,49,39,56439,9,F,100,22/09/2019,F
6513,0,0,0,39,0,0,0,4,0,5,19,34,45,50245,42,T,30,05/12/2020,F
6579,10.96899,69,2,38,16,1,0,3,7,8,10,28,61,31855,52,T,190,12/12/2018,F
6638,11.14999,150,1,27,37,0,0,3,11,0,15,31,52,42752,25,F,30,04/06/2020,F
6829,0,0,0,34,32,0,0,2,8,3,20,40,39,21103,52,F,0,09/03/2018,F
6979,7.673283,40,1,36,25,1,0,3,0,5,6,36,56,35657,8,F,160,06/01/2017,F
7029,0,0,0,39,20,1,0,4,10,11,15,39,44,44206,35,F,100,10/07/2016,F
7197,7.689,89,1,29,8,3,0,6,9,3,18,52,28,46342,5,F,330,18/06/2016,F
